id,numero,status,descricao,rotulos,id_responsavel,valor_aquisicao,valor_depreciado,numero_nota_fiscal,numero_serie,data_entrada,data_carga,fornecedor,id_sala,estado_conservacao,marca,modelo,categoria,descricao_resumida,observacoes,situacao,ed
2659,365604,Ativo,"PAINEL DIVISOR DE MESA DE 1400X570MM, COM 18 MM DE ESPESSURA, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP. O PAINEL É FIXADO NAS ESTAÇÕES POR MEIO DE MÃOS FRANCESAS EM PVC RÍGIDO REVESTIDAS COM FIBRAS DE VIDRO. MARCA FORTLINE.",-,64,174.00,174.00,61159,,2015-11-30,2025-07-12 22:35:40.886280,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,38,,,,MOBILIARIO,,,,12311.0303
2660,365605,Ativo,"PAINEL DIVISOR DE MESA DE 1400X570MM, COM 18 MM DE ESPESSURA, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP. O PAINEL É FIXADO NAS ESTAÇÕES POR MEIO DE MÃOS FRANCESAS EM PVC RÍGIDO REVESTIDAS COM FIBRAS DE VIDRO. MARCA FORTLINE.",-,43,174.00,174.00,61159,,2015-11-30,2025-07-12 22:35:41.064449,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,38,,,,MOBILIARIO,,,,12311.0303
2661,365606,Ativo,"PAINEL DIVISOR DE MESA DE 1400X570MM, COM 18 MM DE ESPESSURA, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP. O PAINEL É FIXADO NAS ESTAÇÕES POR MEIO DE MÃOS FRANCESAS EM PVC RÍGIDO REVESTIDAS COM FIBRAS DE VIDRO. MARCA FORTLINE.",-,12,174.00,174.00,61159,,2015-11-30,2025-07-12 22:35:41.235414,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,38,,,,MOBILIARIO,,,,12311.0303
2662,365607,Ativo,"PAINEL DIVISOR DE MESA DE 1400X570MM, COM 18 MM DE ESPESSURA, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP. O PAINEL É FIXADO NAS ESTAÇÕES POR MEIO DE MÃOS FRANCESAS EM PVC RÍGIDO REVESTIDAS COM FIBRAS DE VIDRO. MARCA FORTLINE.",-,59,174.00,174.00,61159,,2015-11-30,2025-07-12 22:35:41.531647,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,38,,,,MOBILIARIO,,,,12311.0303
2663,365608,Ativo,"PAINEL DIVISOR DE MESA DE 1400X570MM, COM 18 MM DE ESPESSURA, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP. O PAINEL É FIXADO NAS ESTAÇÕES POR MEIO DE MÃOS FRANCESAS EM PVC RÍGIDO REVESTIDAS COM FIBRAS DE VIDRO. MARCA FORTLINE.",-,43,174.00,174.00,61159,,2015-11-30,2025-07-12 22:35:41.701608,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,38,,,,MOBILIARIO,,,,12311.0303
2664,365609,Ativo,"PAINEL DIVISOR DE MESA DE 1400X570MM, COM 18 MM DE ESPESSURA, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP. O PAINEL É FIXADO NAS ESTAÇÕES POR MEIO DE MÃOS FRANCESAS EM PVC RÍGIDO REVESTIDAS COM FIBRAS DE VIDRO. MARCA FORTLINE.",-,35,174.00,174.00,61159,,2015-11-30,2025-07-12 22:35:41.846111,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,38,,,,MOBILIARIO,,,,12311.0303
4005,371892,Ativo,"ESTANTE ABERTA, DIMENSÕES: 800 X 500 X 2100 MM (LxPxA) TAMPO SUPERIOR, CORPO (02 LATERAIS, 01 FUNDO, 01 TAMPO INFERIOR, E 01 PRATELEIRA FIXA, 05 PRATELEIRAS MÓVEIS) CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE (MDP), RODAPÉ RETANGULAR FECHADO EM TUBOS DE AÇO DE 50 X 20 X 1,2 MM CONTINUO DOBRADO. MARCA FORTLINE",-,29,1213.00,1213.00,63034,,2016-03-04,2025-07-12 22:39:28.363592,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,52,,,,MOBILIARIO,,,,12311.0303
4670,374085,Ativo,"VIDA, 4 BIOGRAFIAS, 1A EDIÇAO, 2013, EDITORA CIALET - LIVRO",PDL - Biblioteca,6,29.58,29.58,6983,,2014-10-22,2025-07-12 22:41:19.162197,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
5777,385630,Ativo,"TECNOLOGIA DA INFORMAÇÃO APLICADA A SISTEMAS DE INFORMAÇÃO EMPRESARIAIS, 9A ED. 2013, EDITORA ATLAS - LIVRO",-,6,74.65,74.65,14926,,2016-09-23,2025-07-12 22:44:24.373348,GD DISTRIBUIDORA DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
7435,451266,Ativo,"EXTINTOR DE INCÊNDIO,  CAPACIDADE DE  6KG ,    MATERIAL DE VÁLVULA SAÍDA LATÃO FORJADA, MATERIAL CILINDRO  AÇO ASTM 1541, APLICAÇÃO PARA INCÊNDIO CLASSE 'B"" E ""C"". MATERIAL CARGA DIÓXIDODE CABORNO (CO2) .    MARCA: EXTINCENTER.",-,14,450.00,450.00,11538,,2019-05-31,2025-07-12 22:49:06.749431,EXTINCENTER COMERCIO E RECARGA DE EXTINTORES EIRELI - ME,32,,,,OUTROS,,,,12311.0105
2668,365613,Ativo,"MESA RETANGULAR A DIMENSÕES: 600 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,18,490.00,490.00,61159,,2015-11-30,2025-07-12 22:35:42.450932,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,37,,,,MOBILIARIO,,,,12311.0303
2669,365614,Ativo,"MESA RETANGULAR A DIMENSÕES: 600 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,52,490.00,490.00,61159,,2015-11-30,2025-07-12 22:35:42.623263,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,49,,,,MOBILIARIO,,,,12311.0303
2670,365615,Ativo,"MESA RETANGULAR DIMENSÕES: 1400 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,672.00,672.00,61159,,2015-11-30,2025-07-12 22:35:42.869525,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,63,,,,MOBILIARIO,,,,12311.0303
2671,365616,Ativo,"MESA RETANGULAR DIMENSÕES: 1400 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,672.00,672.00,61159,,2015-11-30,2025-07-12 22:35:43.023982,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,99,,,,MOBILIARIO,,,,12311.0303
2672,365617,Ativo,"MESA RETANGULAR DIMENSÕES: 1400 X 600 X 740 MM (LXPXH). TAMPO CONFECCIONADO COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 25 MM DE ESPESSURA. PAINEL FRONTAL ESTRUTURAL E DE PRIVACIDADE, CONFECCIONADOS COM CHAPAS DE PARTÍCULAS DE MADEIRA DE MÉDIA DENSIDADE MDP, COM 18 MM DE ESPESSURA. ELETROCALHA CONFECCIONADA COM CHAPAS METÁLICAS DOBRADAS, DOTADA DE PORTA-TOMADAS. ESTRUTURAS LATERAIS FABRICADA EM CHAPA DE AÇO, CUJA COMPOSIÇÃO SE DIVIDE EM PATA, COLUNA, E SUPORTE DO TAMPO. ACABAMENTO COM SAPATAS EM PVC RÍGIDO COM DIÂMETRO DE 63 MM. MARCA FORTLINE.",-,6,672.00,672.00,61159,,2015-11-30,2025-07-12 22:35:43.160146,FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,88,,,,MOBILIARIO,,,,12311.0303
