id,id_item_composto,id_inventario,id_coletor,quantidade_encontrada,status_componente,observacao_coleta,data_coleta,localizacao_encontrada
158,1714,2,12,1,COMPLETO,,,
159,1420,2,12,1,COMPLETO,,,
160,1757,2,12,1,COMPLETO,,,
161,1700,2,12,1,COMPLETO,,,
162,4421,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
163,1651,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
164,1833,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
165,1246,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
166,1051,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
167,1635,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
168,4423,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
169,1603,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
170,1763,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
171,1037,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
172,1075,2,12,1,COMPLETO,"NÃO É REFEITÓRIO MODULAR, MAS CORREDOR DE CONVIVENCIA DOS ALUNOS.",,
173,1230,2,12,1,COMPLETO,,,
174,1231,2,12,1,COMPLETO,,,
175,1199,2,12,1,COMPLETO,,,
177,4425,2,12,1,COMPLETO,,,
178,1595,2,12,1,COMPLETO,,,
179,1218,2,12,1,COMPLETO,,,
180,1809,2,12,1,COMPLETO,,,
181,1267,2,12,1,COMPLETO,,,
182,1748,2,12,1,COMPLETO,,,
183,1648,2,12,1,COMPLETO,,,
184,1388,2,12,1,COMPLETO,,,
185,1272,2,12,1,COMPLETO,,,
186,1736,2,12,1,COMPLETO,,,
187,1727,2,12,1,COMPLETO,,,
188,4427,2,12,1,COMPLETO,,,
189,1715,2,12,1,COMPLETO,,,
190,1543,2,12,1,COMPLETO,,,
191,1295,2,12,1,COMPLETO,,,
192,1491,2,12,1,COMPLETO,,,
193,1627,2,12,1,COMPLETO,,,
194,1822,2,12,1,COMPLETO,,,
195,1264,2,12,1,COMPLETO,,,
196,1699,2,12,1,COMPLETO,,,
197,1516,2,12,1,COMPLETO,,,
198,1274,2,12,1,COMPLETO,,,
199,1698,2,12,1,COMPLETO,,,
200,1493,2,12,1,COMPLETO,,,
201,1724,2,12,1,COMPLETO,,,
202,1475,2,12,1,COMPLETO,,,
204,1398,2,12,1,COMPLETO,,,
205,1270,2,12,1,COMPLETO,,,
206,1725,2,12,1,COMPLETO,,,
207,1702,2,12,1,COMPLETO,,,
208,1531,2,12,1,COMPLETO,,,
209,1622,2,12,1,COMPLETO,,,
210,1011,2,12,1,COMPLETO,,,
211,1670,2,12,1,COMPLETO,,,
212,1647,2,12,1,COMPLETO,,,
213,1300,2,12,1,COMPLETO,,,
214,1303,2,12,1,COMPLETO,,,
215,1596,2,12,1,COMPLETO,,,
216,1215,2,12,1,COMPLETO,,,
217,1235,2,12,1,COMPLETO,,,
218,1240,2,12,1,COMPLETO,,,
219,1646,2,12,1,COMPLETO,,,
220,1756,2,12,1,COMPLETO,,,
221,4431,2,12,1,COMPLETO,,,
222,1637,2,12,1,COMPLETO,,,
223,1229,2,12,1,COMPLETO,,,
224,4434,2,12,1,COMPLETO,"Leitor reconheceu cod barras, mas está com etiqueta velha, nº ilegivel.",,
225,1257,2,12,1,COMPLETO,,,
226,1752,2,12,1,COMPLETO,,,
227,1675,2,12,1,COMPLETO,,,
228,1394,2,12,1,COMPLETO,,,
229,1135,2,12,1,COMPLETO,,,
230,1650,2,12,1,COMPLETO,,,
231,1271,2,12,1,COMPLETO,,,
232,4436,2,12,1,COMPLETO,"Leitor reconheceu cod barras, mas está com etiqueta velha, nº ilegível.",,
233,1237,2,12,1,COMPLETO,,,
234,1286,2,12,1,COMPLETO,,,
235,1619,2,12,1,COMPLETO,,,
236,1601,2,12,1,COMPLETO,,,
237,1806,2,12,1,COMPLETO,,,
238,1154,2,12,1,COMPLETO,"Leitor reconheceu cod barras, mas está com etiqueta velha, nº ilegível e cod barras quase totalmente apagado.",,
239,1807,2,12,1,COMPLETO,,,
240,1203,2,12,1,COMPLETO,,,
241,1814,2,12,1,COMPLETO,,,
242,1252,2,12,1,COMPLETO,,,
243,1297,2,12,1,COMPLETO,,,
244,1304,2,12,1,COMPLETO,,,
245,1511,2,12,1,COMPLETO,,,
246,1605,2,12,1,COMPLETO,,,
247,1200,2,12,1,COMPLETO,,,
248,1243,2,12,1,COMPLETO,,,
249,1261,2,12,1,COMPLETO,,,
250,1314,2,12,1,COMPLETO,,,
251,1498,2,12,1,COMPLETO,,,
252,1021,2,12,1,COMPLETO,,,
253,1249,2,12,1,COMPLETO,,,
254,1242,2,12,1,COMPLETO,,,
255,1275,2,12,1,COMPLETO,,,
256,1140,2,12,1,COMPLETO,,,
257,1649,2,12,1,COMPLETO,,,
258,1220,2,12,1,COMPLETO,,,
259,1310,2,12,1,COMPLETO,,,
260,1360,2,12,1,COMPLETO,,,
261,4432,2,12,1,COMPLETO,,,
262,1669,2,12,1,COMPLETO,,,
263,4438,2,12,1,COMPLETO,,,
264,1554,2,12,1,COMPLETO,,,
265,1789,2,12,1,COMPLETO,,,
266,1248,2,12,1,COMPLETO,,,
268,1182,2,12,1,COMPLETO,Cod barras ilegivel.,,
269,4439,2,12,1,COMPLETO,"Já estava coletado. Porém, na B6 tem novamente a cadeira com esse n. PAT e eu Rosana atualizei o cadastro, pois item composto foi cadastrado somente com cadeira e não cadeira e mesa. Mas aparentemente está duplicado, pois foi coletado no sábado.",,
270,1762,2,12,1,COMPLETO,,,
